AGENT NAME,LOGIN ID,STAFFED TIME,AUX TIME,TIME IN STARTUP TIME,"TIME IN TRAIN, MEET, PROJECT",TIME IN CALL COACHING,TIME IN SYSTEM ISSUES,TIME IN CASE WORK,TIME IN EXTERNAL SUPPORT,TIME IN UNSCHEDULED BREAK,TIME IN LUNCH,TIME IN BREAK,TIME IN OTHER PRODUCTIVE WORK,TIME IN AUX 10-99,TEAM,MONTH,ACD CALLS,HELD CALLS,AVG. ACD TIME,AVG. CALL RELATED ACW TIME,AVG. TOTAL ACW TIME,AVG. NON-CALL RELATED ACW TIME,AVG. HOLD TIME,AVG. HANDLE TIME,AVAILABLE TIME,UNSCHEDULED AUX TIME,% ACD TIME,% CALL RELATED ACW,% TOTAL ACW,% UN-SCHEDULED AUX,ACD CALLS RELEASED,AVG. ACW TIME,% AGENT OCCUPANCY W/ ACW,% AGENT OCCUPANCY W/O ACW,EXTN IN CALLS,AVG. EXTN IN TIME,EXTN OUT CALLS,AVG. EXTN OUT TIME,ACD TIME,ACW TIME,AGENT RING TIME,OTHER TIME,SHRINKAGE,Performance,RISK
v1,4220,6785.75,1606.23,183.97,136.25,36.03,9.32,0,0,161.22,662.1,417.35,0,0,PI_TEAM_DEASEY,4/1/2019,415,262,5.34,3.67,4.42,0.76,1.54,10.74,748.5,823.32,0.6,24.56,29.63,12.93,388,3.67,86,50,0,0,112,0.35,2217.27,1836.1,10.67,366.98,23.67063331,61.53,37.97
v2,4231,9271.02,2839,406.93,707.05,27.87,27.8,0,0,25.62,1025.5,618.23,0,0,PI_TEAM_DEASEY,4/1/2019,519,256,5.08,1.69,2.09,0.4,1.47,7.9,2490.43,1051.12,0.55,11.1,13.72,12.15,500,1.69,62,45,1,2.17,186,1.69,2635.37,1086.45,19.83,199.93,30.62230477,87.8,30.43
v3,10947,8965.68,1940.95,377.48,136.53,24.15,4.28,0,2.72,104.92,809.42,481.45,0,0,PI_TEAM_DEASEY,4/1/2019,449,296,5.91,3.09,3.95,0.86,3.61,12.24,1600.72,914.33,0.53,16.69,21.33,10.78,143,3.09,77,52,0,0,137,1.47,2658.05,1774.68,10.97,980.32,21.64866469,65.11,39.12
v4,15032,10293.98,2573.68,210.5,803.7,17.87,6.52,0,0,41.58,889.95,603.57,0,0,PI_TEAM_DEASEY,4/1/2019,853,464,4.68,1.99,2.19,0.2,1.56,7.72,1254.77,931.53,0.75,19.13,21.07,9.61,699,1.99,84,60,0,0,222,1.08,3993.47,1868.83,17.85,585.38,25.00179717,95.76,19.77
v5,15047,10323.08,2065.97,260.68,134.73,0,0,0,0,79.1,967.48,623.97,0,0,PI_TEAM_DEASEY,4/1/2019,903,473,4.49,2.32,2.37,0.05,1.5,7.65,1481.33,1046.58,0.71,21.93,22.41,10.79,804,2.32,82,57,0,0,234,0.89,4055.97,2143.28,21.53,555,20.01311624,91.72,29.93
v6,15054,0.08,0.08,0.08,0,0,0,0,0,0,0,0,0,0,PI_TEAM_DEASEY,4/1/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
v7,15060,6994.62,1506.77,70.4,97.43,0,140.63,0,0,187.02,606.28,405,0,0,PI_TEAM_DEASEY,4/1/2019,422,264,5.34,2.57,2.76,0.18,0.68,8.52,1930.87,793.3,0.58,16.72,17.91,12.04,354,2.57,65,44,0,0,167,1.37,2254.93,1162.63,13.23,126.18,21.54184216,87.96,39.29
v8,15108,8845.08,1853.18,220.68,281.07,0,0.03,0,0,29.37,807.53,514.5,0,0,PI_TEAM_DEASEY,4/1/2019,773,324,5.02,1.88,2.06,0.18,1.35,7.65,1141.23,836.9,0.8,18.08,19.82,10.05,609,1.88,84,61,1,2.2,201,1.04,3886,1595.07,15.57,354.03,20.95153464,90.42,27.02
v9,15219,9829.32,2323.48,332.13,224.6,56.23,13.55,0,0,219.28,889.2,588.48,0,0,PI_TEAM_DEASEY,4/1/2019,634,494,5.83,2.38,2.78,0.4,1.63,9.88,1408.43,1108.48,0.69,16.82,19.64,12,497,2.38,82,59,1,3.72,271,1.19,3702.2,1760.02,18.62,616.57,23.63825778,85.36,30.12
v10,15231,10276.92,2629.47,296.43,433.32,0,30,0,5.35,232.05,932.7,699.62,0,0,PI_TEAM_DEASEY,4/1/2019,768,536,4.8,2.87,2.96,0.09,1.58,8.86,951.32,1164.75,0.67,24.14,24.89,12.16,675,2.87,88,58,0,0,316,0.74,3707.78,2274.65,20.85,692.85,25.58616784,81.88,26.67
v11,15253,9281.62,1941.2,180.37,110.53,45.47,25.35,0,0,244.27,770.63,564.58,0,0,PI_TEAM_DEASEY,4/1/2019,653,310,5.67,3.23,3.24,0.02,0.65,9.21,1362.48,1014.9,0.72,24.61,24.73,11.64,549,3.23,82,53,0,0,162,0.65,3699.97,2116.82,19.63,141.52,20.91445243,75.04,36.03
v12,15261,10779.55,3429.48,313.05,1127.7,27.33,66.18,0,0,326.33,921.18,647.7,0,0,PI_TEAM_DEASEY,4/1/2019,546,368,5.75,4.2,4.9,0.69,2.01,12,921.87,1247.52,0.58,25.57,29.79,12.31,492,4.2,88,52,1,0.08,217,1.21,3142.67,2674.28,16.05,595.2,31.81468614,48.37,30.95
v13,15289,9772.52,2154.03,195.62,470.65,27.92,13.37,0,0,84.03,699.3,663.15,0,0,PI_TEAM_DEASEY,4/1/2019,812,486,4.5,1.75,1.87,0.12,0.58,6.71,2269.13,783.33,0.71,16.46,17.61,8.6,346,1.75,71,51,0,0,281,0.7,3657.73,1515.93,22.78,152.9,22.0417047,87.91,29.7
v14,15535,8330.28,1640.43,53.68,82.87,32.1,26.35,0,0,123.17,798.33,523.92,0.02,0,PI_TEAM_DEASEY,4/1/2019,592,236,5.93,2.85,3.02,0.17,1.07,9.38,1092.6,921.5,0.76,21.91,23.23,11.8,513,2.85,84,57,1,0.05,202,0.71,3513.57,1786.8,92.25,204.63,19.69237529,80.18,35.13
v15,15250,9759.6,3836.5,265.12,2511.48,0,0,0,0,151.05,442.42,466.37,0.07,0,PI_EL_PASO,4/1/2019,446,220,5.89,2.7,3.05,0.35,0.85,9.36,1776.17,593.47,0.65,17.77,20.08,6.39,118,2.7,70,47,0,0,165,1.61,2626.68,1361.92,18.73,139.6,39.31001271,86.52,6.64
v16,15273,10469.23,4075.15,407.63,2450.42,10.28,12.73,0,0.07,180.27,488.87,524.88,0,0,PI_EL_PASO,4/1/2019,546,325,5.83,1.93,2.16,0.24,0.86,8.51,1788.67,669.13,0.71,14.06,15.78,6.73,172,1.93,72,54,1,0.12,205,0.75,3183.73,1180.55,16.45,224.68,38.92502123,95.12,3.96
v17,15299,9442.08,1982.85,322.28,288,0,39.62,0,0,103.17,614.75,615.03,0,0,PI_EL_PASO,4/1/2019,483,385,7.84,3.11,3.48,0.36,1.57,12.57,1475.4,717.92,0.74,17.61,19.66,8.13,449,3.11,80,58,1,5.58,265,1.71,3788.22,1678.65,16.8,500.17,21.0001398,67.04,32.98
